"A","B","C","sigma","error","cross","SVs","obj.fun","t.user","t.sys","t.elapsed"
1,2,1,0.01,0.0143,0.0147,238.6,-172.6554,0.555,0.003,0.558
1,2,10,0.01,0.0137,0.0156,127.7,-1005.8097,0.373,0,0.381
1,2,100,0.01,0.0103,0.0136,89.1,-6448.0584,0.407,0,0.407
1,2,1000,0.01,0.0073,0.0146,78.2,-44728.2239,0.543,0,0.553
1,2,10000,0.01,0.005,0.0198,83.8,-310751.5847,1.302,0,1.319
1,2,1,0.001,0.0296,0.0314,720.9,-514.289,1.469,0.053,1.528
1,2,10,0.001,0.0244,0.0252,305.6,-2329.5463,0.67,0.006,0.694
1,2,100,0.001,0.0155,0.017,163,-12890.9675,0.462,0,0.462
1,2,1000,0.001,0.0119,0.0136,106.6,-84237.4045,0.437,0.002,0.442
1,2,10000,0.001,0.0104,0.013,82.2,-610784.4559,0.656,0,0.659
1,2,1,1e-04,0.0544,0.0608,1779.3,-1303.1733,2.706,0.111,2.818
1,2,10,1e-04,0.0364,0.0378,744.8,-5419.9529,1.366,0.042,1.414
1,2,100,1e-04,0.0319,0.0331,331.5,-26515.3538,0.653,0.012,0.668
1,2,1000,1e-04,0.0272,0.029,202.2,-172810.3218,0.532,0,0.536
1,2,10000,1e-04,0.0158,0.0179,149.8,-1223773.2061,0.471,0,0.476
1,3,1,1,0.0035,0.0158,881.5,-183.5866,1.709,0.064,1.79
1,3,10,1,0,0.0193,860.6,-206.7081,1.701,0.061,1.771
1,3,100,1,0,0.0195,843.5,-211.1239,1.657,0.086,1.771
1,3,1000,1,0,0.0198,855.4,-216.3453,1.669,0.068,1.756
1,3,10000,1,0,0.0192,850.9,-213.8451,1.725,0.075,1.797
1,3,1,0.1,0.0095,0.0127,163.6,-103.4902,0.39,0.002,0.391
1,3,10,0.1,0.0062,0.014,121.2,-509.1057,0.395,0,0.406
1,3,100,0.1,0.0031,0.0191,121.2,-2279.1833,0.48,0,0.488
1,3,1000,0.1,3e-04,0.0254,115,-5769.1766,0.522,0,0.528
1,3,10000,0.1,0,0.0293,112.1,-6745.3772,0.523,0.001,0.534
1,3,1,0.01,0.0181,0.0201,276.5,-203.8599,0.603,0.009,0.626
1,3,10,0.01,0.0135,0.0154,144.2,-1116.1272,0.415,0,0.417
1,3,100,0.01,0.0092,0.0126,97.1,-6975.0621,0.43,0,0.441
1,3,1000,0.01,0.0076,0.0163,90.3,-52951.3527,0.649,0,0.665
1,3,10000,0.01,0.0041,0.0186,87.9,-302745.612,1.561,0,1.576
1,3,1,0.001,0.0426,0.0446,782.9,-568.3055,1.517,0.049,1.588
1,3,10,0.001,0.0275,0.0294,340.2,-2623.7291,0.716,0.024,0.739
1,3,100,0.001,0.0174,0.0196,182.2,-14540.4516,0.481,0.001,0.492
1,3,1000,0.001,0.0139,0.016,127.8,-102680.023,0.478,0.002,0.492
1,3,10000,0.001,0.0099,0.0134,94.6,-710079.8298,0.742,0,0.743
1,3,1,1e-04,0.0756,0.085,1816.5,-1365.5785,2.77,0.104,2.878
1,3,10,1e-04,0.0449,0.0468,789.3,-5814.5202,1.474,0.054,1.545
1,3,100,1e-04,0.035,0.0368,366.3,-29563.5046,0.748,0.002,0.747
1,3,1000,1e-04,0.0333,0.0346,234.8,-205237.716,0.605,0.009,0.618
1,3,10000,1e-04,0.0187,0.0207,164.2,-1360919.3615,0.525,0.006,0.533
1,4,1,1,0.0031,0.0158,942.1,-197.1285,1.942,0.094,2.068
1,4,10,1,0,0.0192,925.3,-219.4501,2.059,0.109,2.196
1,4,100,1,0,0.0195,920.2,-224.2592,2.043,0.112,2.175
1,4,1000,1,0,0.0201,909.6,-224.7458,1.956,0.131,2.099
1,4,10000,1,0,0.019,929.5,-223.8827,2.114,0.092,2.242
1,4,1,0.1,0.0108,0.0146,157.5,-99.8237,0.41,0.011,0.426
1,4,10,0.1,0.0059,0.0158,119.4,-487.3564,0.425,0.006,0.441
1,4,100,0.1,0.0019,0.021,113.8,-1816.3518,0.497,0.002,0.505
1,4,1000,0.1,0,0.0234,102.8,-3475.6182,0.463,0.008,0.479
1,4,10000,0.1,0,0.0272,106.6,-5151.3637,0.506,0.008,0.515
1,4,1,0.01,0.0152,0.0164,277.4,-200.672,0.671,0.029,0.702
1,4,10,0.01,0.0138,0.0156,136,-1049.7666,0.425,0,0.425
1,4,100,0.01,0.0122,0.0162,102.3,-7591.3253,0.457,0,0.457
