"kernel","C","p1","p2","error","cross","numSV","obj_f","time.elapsed","real_error"
"tanhdot",0.1,1,1.8,0.382,0.376,674,-71.311,15.715,
"tanhdot",0.01,1,0,0.376,0.377,680,-7.008,14.923,
"tanhdot",0.01,10,-2.4,0.379,0.379,668,-7.32,12.391,
"tanhdot",0.01,1,0.6,0.382,0.38,684,-6.954,15.878,
"tanhdot",100,1,-1.8,0.469,0.381,424,-87439580.752,8.134,
"tanhdot",0.01,10,-1.8,0.38,0.381,668,-7.307,8.474,
"tanhdot",0.01,10,-0.6,0.38,0.381,670,-7.285,8.912,
"tanhdot",0.01,10,-1.2,0.38,0.381,668,-7.294,10.079,
"tanhdot",0.01,10,0,0.382,0.382,672,-7.279,11.963,
"tanhdot",0.01,10,2.4,0.385,0.382,680,-7.117,10.091,
"tanhdot",0.01,10,0.6,0.382,0.382,676,-7.268,12.107,
"tanhdot",0.01,10,1.2,0.383,0.382,678,-7.237,8.544,
"tanhdot",10,0.001,-2.4,0.384,0.383,686,-6723.661,12.806,
"tanhdot",0.1,0.001,-1.8,0.384,0.383,684,-68.362,13.708,
"tanhdot",0.1,0.00001,0,0.384,0.383,684,-68.396,8.354,
"tanhdot",0.01,0.0001,-1.2,0.384,0.383,684,-6.84,9.545,
"tanhdot",10,0.001,2.4,0.384,0.383,685,-6725.818,10.073,
"tanhdot",0.01,0.0001,2.4,0.384,0.383,684,-6.84,13.283,
"tanhdot",0.01,0.1,1.2,0.384,0.383,685,-6.785,9.049,
"tanhdot",0.01,0.001,0,0.384,0.383,684,-6.836,8.163,
"rbfdot",0.01,0.001,,0.384,0.383,684,-6.833,12.697,
"tanhdot",100,0.00001,0.6,0.384,0.383,686,-65868.867,12.946,
"rbfdot",1,0.00001,,0.384,0.383,684,-683.286,9.323,
"tanhdot",1,0.0001,-1.8,0.384,0.383,684,-683.624,13.955,
"tanhdot",100,0.00001,1.2,0.384,0.383,686,-67316.934,9.647,
"tanhdot",1,0.0001,0.6,0.384,0.383,686,-681.468,10.18,
"tanhdot",0.1,0.0001,-0.6,0.384,0.383,684,-68.374,13.45,
"tanhdot",0.01,0.1,-1.8,0.384,0.383,686,-6.765,14.493,
"tanhdot",10,0.00001,-0.6,0.384,0.383,686,-6814.658,14.347,
"rbfdot",0.01,1,,0.384,0.383,689,-6.744,9.443,
"tanhdot",100,0.00001,-0.6,0.384,0.383,686,-65866.718,13.797,
"tanhdot",0.1,0.0001,0.6,0.384,0.383,684,-68.374,13.348,
"tanhdot",0.1,0.00001,-2.4,0.384,0.383,684,-68.4,13.783,
"tanhdot",0.01,0.1,-1.2,0.384,0.383,686,-6.653,13.935,
"tanhdot",0.1,0.01,1.8,0.384,0.383,684,-68.062,12.961,
"tanhdot",0.01,0.00001,-2.4,0.384,0.383,684,-6.84,13.188,
"tanhdot",0.01,0.001,2.4,0.384,0.383,684,-6.84,9.044,
"tanhdot",0.01,0.001,-2.4,0.384,0.383,684,-6.84,10.303,
"tanhdot",0.1,0.1,2.4,0.384,0.383,684,-67.853,11.705,
"tanhdot",1,0.00001,1.8,0.384,0.383,684,-683.957,13.945,
"tanhdot",0.01,0.01,0.6,0.384,0.383,684,-6.816,11.461,
"tanhdot",100,0.0001,2.4,0.384,0.383,685,-67248.692,13.598,
"tanhdot",0.01,0.0001,0.6,0.384,0.383,684,-6.84,13.437,
"tanhdot",1,0.001,0.6,0.384,0.383,686,-658.803,10.488,
"tanhdot",0.01,0.01,-1.8,0.384,0.383,684,-6.836,12.755,
"tanhdot",10,0.00001,1.2,0.384,0.383,685,-6829.154,12.461,
